#{"t_start": 1738173668.0426607, "env_id": "CustomHopperWithObstacles-source-v0"}
r,l,t
81.626404,45,13.96056
82.007695,45,13.986758
84.295586,46,14.013286
84.850058,46,14.03987
81.56575,45,14.065898
84.958622,46,14.092433
81.197395,45,14.118449
78.893212,44,14.143982
53.423276,30,14.939368
12.38057,15,14.952367
160.541873,74,15.014969
88.196679,57,15.063276
33.831026,27,15.085998
25.33678,25,15.10726
140.386414,75,15.169813
73.401973,75,15.231212
180.707082,96,15.30675
88.377779,47,15.342931
168.949272,83,15.406891
86.551895,65,15.455704
87.027846,58,15.499699
20.359575,22,15.516348
12.909766,18,15.53
64.537364,38,15.558715
44.048552,43,15.591278
59.107912,33,15.616193
144.624987,70,15.668535
85.632512,55,15.711097
137.85699,103,15.791063
42.588247,39,15.820575
28.681246,25,15.839529
17.857878,16,15.851704
13.634784,18,15.865314
12.883495,22,15.882085
8.640338,14,15.892723
82.831556,76,15.950107
30.497246,34,15.975905
7.902903,11,15.98552
30.104115,26,16.00514
91.428329,51,16.043623
67.008744,37,16.07147
25.051624,21,16.08744
4.259988,11,16.095936
185.815876,96,16.168234
44.197137,30,16.190761
125.507386,62,16.237445
160.000533,77,16.295352
285.411954,119,16.384446
164.065335,94,16.455139
257.035517,109,16.567796
260.493278,110,16.624975
267.815012,112,16.682169
275.361464,114,16.741503
272.847568,113,16.800124
274.398233,113,16.860674
280.95759,115,16.921214
275.839512,113,16.982117
267.145791,110,17.04067
265.240627,109,17.09845
259.059618,107,17.154261
253.064961,105,17.210034
250.075416,104,17.264722
243.562889,102,17.321112
240.248559,101,17.373922
237.341792,100,17.426683
237.591241,100,17.480265
233.921593,99,17.533091
231.861409,98,17.584009
231.54921,98,17.634998
228.383797,97,17.684433
228.609012,97,17.733858
228.903481,97,17.784343
225.957176,96,17.833064
226.105911,96,17.881879
226.218305,96,17.930664
176.013004,79,17.970903
226.13352,96,18.019732
176.54248,79,18.059989
223.733829,95,18.108309
170.870421,77,18.147599
170.817406,77,18.187701
170.266821,77,18.226976
170.354725,77,18.266258
170.97784,77,18.305551
167.542558,76,18.344232
173.709726,78,18.38487
170.761063,77,18.424041
167.487805,76,18.462772
173.502789,78,18.502502
167.056084,76,18.541182
167.791093,76,18.579806
167.109862,76,18.618586
167.523082,76,18.657285
171.181492,77,18.696507
168.243657,76,18.735175
167.266506,76,18.773818
167.533221,76,18.812874
167.717645,76,18.852386
167.610984,76,18.891981
232.642631,100,19.669112
15.642691,15,19.680561
216.656341,110,19.762687
75.042215,45,19.796188
9.401562,12,19.805229
159.829413,81,19.865467
207.760524,94,19.935062
64.419637,37,19.962761
170.935575,81,20.023115
105.765802,55,20.063957
86.03857,57,20.106308
44.28367,25,20.125042
101.126961,72,20.178978
23.070737,23,20.197233
176.541218,85,20.260446
9.545498,14,20.270947
245.781567,107,20.355702
255.809712,123,20.450215
8.909943,11,20.458552
105.698894,57,20.504656
62.5333,37,20.535487
143.718425,80,20.603423
77.745378,44,20.64026
134.442245,66,20.695608
172.078254,78,20.760632
217.075377,115,20.857547
62.233074,35,20.886867
154.491783,74,20.948702
165.439617,76,21.012084
211.582137,104,21.099131
222.225136,95,21.178562
313.572703,126,21.298719
314.380947,126,21.371573
314.045379,126,21.445729
311.741781,125,21.517949
309.60731,124,21.589441
309.674999,124,21.662118
309.2623,124,21.735865
310.166277,124,21.808242
307.696386,123,21.87834
304.451662,122,21.947894
304.584874,122,22.018988
302.376047,121,22.089379
301.219074,121,22.15984
301.994611,121,22.230392
298.936028,120,22.300272
296.404467,119,22.36943
297.340321,119,22.438643
293.528867,118,22.507481
294.504484,118,22.576194
291.213438,117,22.644073
291.233498,117,22.710883
288.248253,116,22.77726
287.7455,116,22.84357
287.912733,116,22.909802
