#{"t_start": 1736418931.455324, "env_id": "CustomHopper-target-v0"}
r,l,t
275.726486,129,39.08536
346.896964,139,39.172458
281.297222,125,39.25077
323.497228,135,39.335224
269.371717,117,39.408824
66.627617,40,39.43392
277.034757,133,40.214797
307.598073,127,40.294667
74.17734,44,40.322295
387.202875,161,40.423722
302.412774,139,40.510887
252.380494,118,40.585311
164.303715,79,40.634843
345.636479,145,40.727745
265.913487,110,40.800049
237.5627,100,40.865966
301.926892,130,40.951677
305.151107,130,41.03781
313.246297,127,41.121764
339.530746,136,41.211836
201.230952,94,41.274106
275.833944,149,41.37313
265.221436,128,41.457448
372.097001,165,42.283759
370.303124,145,42.379463
326.436351,141,42.472718
302.226145,126,42.555813
328.13087,134,42.644473
340.00609,150,42.744045
275.51992,114,42.819392
324.223652,132,42.906504
324.693569,131,42.992978
325.680323,156,43.096326
301.133397,130,43.182053
327.926131,154,43.283519
347.599602,136,43.373948
391.975496,169,43.485649
468.851515,196,44.324358
358.09893,145,44.419254
283.510019,131,44.501255
347.868823,142,44.594798
181.836884,97,44.658744
318.043983,133,44.746299
313.41345,143,44.840636
213.332568,105,44.910137
327.589595,125,44.992235
328.653976,144,45.087738
219.775459,105,45.157304
215.402603,114,45.232371
116.685027,68,45.277204
393.54388,151,45.37709
316.170588,126,45.459973
286.841593,127,45.543493
321.065182,147,46.343074
342.393081,147,46.435739
359.477052,142,46.524791
404.321695,175,46.634385
319.147529,129,46.716148
324.060987,134,46.811235
353.35824,144,46.913385
337.291243,142,47.013559
324.522132,133,47.107901
352.170004,142,47.208155
293.968389,122,47.294026
343.763093,143,47.396139
331.3157,147,47.499954
321.871764,146,47.603376
350.977496,151,48.480397
378.499639,153,48.588027
354.688376,133,48.681737
304.958078,134,48.776491
478.510831,195,48.913705
324.691696,151,49.019973
382.045751,158,49.13156
366.960274,144,49.233416
330.686706,141,49.336742
333.995487,148,49.444967
196.332503,89,49.509047
366.243646,142,49.6091
439.634014,166,49.725777
198.306343,101,49.796899
353.38295,152,49.904473
353.396718,142,50.775838
333.880901,130,50.867018
317.022608,131,50.958604
356.058284,134,51.052622
358.914291,147,51.156267
344.540204,131,51.247832
351.715653,142,51.344607
323.162659,145,51.43932
375.261669,136,51.524811
379.804312,148,51.617497
353.500745,146,51.709039
337.412217,141,51.802482
345.109584,138,51.899251
366.985418,149,51.997863
370.494431,146,52.830072
224.346738,97,52.898216
563.015227,200,53.038168
334.313866,135,53.133041
325.325223,138,53.228803
379.923091,149,53.330723
495.290665,176,53.448909
327.83076,135,53.537505
349.594533,150,53.63642
362.825371,133,53.723952
313.282223,140,53.816046
351.956299,143,53.910428
390.285995,152,54.011201
345.242517,146,54.107156
359.534139,138,54.957458
327.442753,126,55.045921
334.873838,127,55.134781
394.313945,150,55.239938
336.043516,139,55.337637
535.017114,179,55.462342
166.455814,83,55.520849
380.688078,161,55.634077
347.434424,136,55.730597
250.909853,112,55.812484
398.374651,143,55.916685
360.378033,133,56.014043
547.28474,200,56.159969
247.713985,112,56.239092
376.38504,139,56.336642
377.019343,150,57.214637
391.909722,155,57.321258
436.289589,159,57.425847
585.449623,199,57.551264
361.389236,134,57.634871
539.171836,198,57.75885
549.496026,188,57.875514
618.044486,217,58.010782
308.213147,129,58.091046
406.759785,150,58.18469
579.675326,200,58.31031
383.85159,144,58.406096
379.010611,145,59.209974
598.125368,215,59.353545
359.63991,141,59.447521
366.764074,145,59.544674
376.980395,143,59.640258
358.179773,139,59.733026
359.940372,137,59.824203
352.8308,140,59.917465
411.093001,160,60.020873
569.486703,196,60.143905
312.789956,133,60.232692
400.136612,143,60.327895
633.00221,216,60.471839
481.733678,178,61.297777
407.91932,157,61.402303
550.068377,187,61.526854
380.947487,140,61.620211
377.814633,132,61.708155
508.563567,176,61.825275
620.298557,213,61.967506
375.982898,143,62.062875
356.411658,133,62.152286
462.238911,170,62.265498
359.924325,149,62.365171
372.113689,153,62.467423
127.334531,71,62.514477
337.371266,140,62.607685
617.068619,208,63.453193
306.510618,132,63.541418
370.422693,134,63.630879
524.184692,182,63.752519
339.245886,135,63.842759
337.566923,143,63.938434
369.752273,147,64.036458
371.623153,137,64.127737
623.366208,204,64.263588
412.365031,156,64.367615
535.795079,190,64.491555
297.998951,136,64.577242
613.870447,215,65.449134
207.052757,94,65.515201
378.655966,135,65.609798
199.779925,90,65.673197
318.967511,134,65.766581
191.871857,87,65.827912
354.834233,132,65.920484
527.732955,193,66.055518
532.028827,193,66.190311
559.021205,194,66.326642
376.255619,134,66.42031
384.815249,136,66.515564
268.521782,116,66.596996
540.411832,204,66.739846
611.141651,207,67.656373
523.368196,191,67.789989
351.712166,133,67.883352
674.317684,241,68.05171
628.663805,222,68.207023
502.960452,191,68.339757
518.444961,176,68.458525
564.22014,199,68.590052
348.220745,141,68.682881
396.818848,141,68.775403
399.060537,152,68.875981
363.41185,139,68.967924
649.243419,218,69.835226
669.084683,223,69.982077
407.15475,148,70.079685
485.301871,190,70.204673
152.503427,83,70.25932
771.072833,270,70.434541
635.241923,210,70.565634
398.873274,146,70.656466
168.082418,89,70.711925
418.173584,160,70.81214
612.494078,213,70.945618
357.18691,151,71.040144
731.950674,272,71.915904
798.978568,279,72.090097
530.584932,178,72.201066
613.489201,213,72.333622
516.41246,175,72.442488
326.675415,131,72.523891
418.12962,142,72.612714
453.771761,181,72.725744
306.287321,131,72.807103
417.485243,157,72.905584
537.024488,183,73.019478
388.449937,144,73.800429
375.514795,139,73.887372
412.345289,142,73.976121
454.738647,150,74.069448
379.662518,144,74.159325
1239.779902,451,74.439831
753.57338,273,74.610334
617.820606,199,74.734329
183.526587,86,74.787928
830.119331,289,74.96751
457.484343,168,75.753902
281.611699,131,75.836024
665.742094,230,75.979328
530.678967,187,76.095846
802.000738,288,76.275231
580.60213,200,76.399924
360.983009,138,76.485885
643.944938,210,76.616791
549.706554,198,76.740567
390.744904,145,76.830962
572.52109,195,76.952591
613.409335,192,77.753427
505.70593,161,77.854117
624.408308,207,77.983036
710.489572,240,78.132592
719.963146,284,78.310425
480.096694,164,78.41251
569.288944,185,78.527947
315.531635,137,78.61327
659.969352,225,78.753405
637.073205,204,78.880523
418.33657,158,79.670886
616.716934,210,79.801245
587.109064,194,79.922188
517.424617,172,80.029517
610.360434,196,80.151891
527.130814,200,80.276498
584.308203,199,80.400691
604.83979,199,80.524821
649.037773,203,80.651417
782.952498,265,80.816891
679.814211,228,81.662584
789.109844,262,81.825502
592.018223,193,81.945482
592.353873,200,82.070311
761.88047,286,82.248454
422.762738,146,82.338889
816.284622,259,82.500184
637.877372,220,82.636411
874.630037,304,82.825157
194.441633,88,83.587637
1259.873438,417,83.860254
320.372654,132,83.947334
331.432183,136,84.036894
597.22116,207,84.173254
309.512367,134,84.26169
520.73108,181,84.381058
624.549125,207,84.517205
675.572286,228,84.666809
631.64864,220,84.803931
326.630699,137,84.891314
357.105085,138,85.70715
951.983416,334,85.922553
429.892793,166,86.026667
623.263176,208,86.155959
703.027784,220,86.293241
581.831856,199,86.419785
341.815823,135,86.508727
652.745098,252,86.67438
329.265973,129,86.759361
431.241471,164,86.86733
395.291359,137,87.663129
240.563225,105,87.730088
843.119188,267,87.896842
702.774609,259,88.058156
939.789223,312,88.252666
542.927522,184,88.371076
835.572693,275,88.542499
198.024572,96,88.603243
766.456521,239,88.752309
902.725525,279,88.926183
799.378428,256,89.823828
733.929774,224,89.970722
786.654126,251,90.136001
371.182014,141,90.226037
573.57739,179,90.337668
850.867374,267,90.504046
676.187113,222,90.64255
564.081935,185,90.757832
718.613,238,90.906594
233.562412,116,91.684369
588.816702,206,91.814172
672.911425,221,91.952953
634.599894,218,92.088679
628.423197,206,92.217421
535.704872,170,92.323586
1113.409857,408,92.578834
520.39222,166,92.682258
221.890514,101,92.745407
945.621158,303,92.934189
698.49697,227,93.785034
762.674022,252,93.942357
578.740031,199,94.066393
565.36966,189,94.184084
524.934475,208,94.314453
664.456873,207,94.443522
629.712866,229,94.587077
351.710216,125,94.665164
814.182501,281,94.840177
722.559725,226,95.68932
242.22907,101,95.753163
533.359819,171,95.859978
510.132284,163,95.961355
1201.845032,420,96.223327
989.408883,320,96.422244
577.45998,201,96.547824
572.077915,208,96.677502
543.716764,192,96.797236
563.782776,195,96.919201
635.935793,201,97.754343
683.680255,222,97.892531
245.076184,106,97.95883
762.109261,250,98.114813
944.112222,312,98.309505
867.192476,293,98.493452
621.480086,212,98.625406
827.673031,276,98.797456
425.688234,168,98.902787
808.742842,244,99.78712
849.183016,286,99.968544
854.162064,282,100.144081
430.380052,163,100.245944
687.340398,221,100.384078
647.604951,229,100.527618
620.153623,205,100.656154
798.595716,263,100.82015
326.162085,138,100.906541
644.990005,225,101.75626
660.314603,222,101.894707
353.211112,154,101.991595
822.025079,268,102.158883
635.529453,207,102.287635
840.725848,274,102.458248
684.909432,224,102.597896
540.619968,195,102.719682
230.605711,114,102.790885
550.132922,190,102.909443
572.120746,203,103.796119
642.540045,205,103.939773
565.107787,206,104.084139
557.146531,211,104.232446
765.765229,266,104.419214
594.399665,206,104.569251
602.188665,213,104.719073
789.635237,244,104.890054
815.616908,262,105.073658
265.249647,125,105.93416
843.616873,264,106.119165
695.711041,247,106.292581
843.869864,287,106.490633
589.507213,196,106.617348
688.903323,229,106.760737
622.843644,217,106.896194
326.193071,134,106.980324
786.171514,246,107.133927
780.067255,250,107.997705
153.700033,85,108.051575
766.44404,245,108.204681
761.048726,274,108.381512
821.991215,253,108.540326
826.24993,257,108.701372
699.451685,235,108.850726
786.653889,254,109.009859
680.2643,236,109.157601
356.843449,148,109.960137
749.483822,256,110.12217
289.594912,130,110.204178
648.242444,196,110.327296
637.477878,207,110.461432
764.742225,238,110.610441
849.562767,259,110.773596
578.922183,175,110.883529
256.110546,119,110.958628
940.25716,309,111.15245
263.94387,109,111.220919
485.336082,184,112.045952
813.406536,278,112.220447
762.981494,242,112.372271
721.173409,215,112.506943
699.311274,234,112.653931
772.482188,244,112.807202
774.755334,247,112.962466
670.629059,227,113.105058
153.683293,75,113.152354
508.909807,165,113.945031
1007.915148,313,114.140046
603.791446,196,114.262705
709.896198,262,114.426202
402.620332,156,114.524068
808.188077,249,114.679536
769.783422,235,114.826191
258.817331,108,114.893876
238.429952,113,114.964496
564.163035,175,115.073658
541.689842,175,115.182792
715.208414,235,116.097082
379.56861,136,116.187599
106.787385,63,116.228723
550.351664,172,116.337746
592.646778,184,116.452928
645.609333,213,116.585987
458.35657,160,116.686149
